거래금액,거래유형,건물면적,건물주용도,건축년도,년,대지면적,법정동,시군구,용도지역,월,유형,일,지역코드,층,구분,건물m2당가격,토지m2당가격
130243,0,112.08,업무,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,2.0,0,1162.054,inf
172606,0,164.73,업무,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,2.0,0,1047.812,inf
97929,0,100.38,업무,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,2.0,0,975.583,inf
56484,0,57.92,업무,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,2.0,0,975.207,inf
97078,0,65.88,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,1.0,0,1473.558,inf
91837,0,65.88,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,1.0,0,1394.004,inf
72257,0,51.84,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,1.0,0,1393.846,inf
76385,0,51.84,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,1.0,0,1473.476,inf
39635,0,23.29,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,1.0,0,1701.803,inf
62722,0,134.97,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,464.711,inf
88085,0,189.75,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,464.216,inf
26990,0,44.92,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,600.846,inf
47839,0,76.65,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,624.123,inf
30878,0,53.6,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,576.082,inf
31081,0,49.8,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,624.116,inf
15139,0,26.28,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,576.065,inf
59095,0,83.22,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,710.106,inf
35142,0,49.49,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,710.083,inf
35142,0,49.49,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,710.083,inf
54538,0,76.81,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,710.038,inf
30593,0,46.06,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,664.199,inf
50771,0,76.44,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,664.194,inf
54531,0,79.2,제2종근린생활,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,11,11110,0.0,0,688.523,inf
177569,0,129.16,업무,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,30,11110,2.0,0,1374.799,inf
117326,0,83.99,업무,2008.0,2010,0.0,견지동,종로구,일반상업,3,집합,30,11110,2.0,0,1396.904,inf
40600,0,21.5,제1종근린생활,0.0,2010,44.7,권농동,종로구,일반상업,3,일반,3,11110,0.0,0,1888.372,908.277
125000,0,198.11,업무,1968.0,2010,0.0,경운동,종로구,일반상업,3,집합,3,11110,4.0,0,630.963,inf
177000,0,34.83,제2종근린생활,0.0,2010,97.3,봉익동,종로구,일반상업,3,일반,31,11110,0.0,0,5081.826,1819.116
70000,0,39.66,제1종근린생활,0.0,2010,30.7,관수동,종로구,일반상업,3,일반,18,11110,0.0,0,1765.003,2280.13
