,구,행정동,면적 (k㎡),인구 (명),면적 (㎢),인구밀도 (명/㎢),보육시설,외국인주민,중위연령,기초수급자,상가면적,도로비율,임야비율,공원비율,전세m2당보증금,학원갯수
198,서대문구,남가좌1동,0.51,15627,0.51,30641,0.03014014206181609,0.02809240417226595,41.7,0.018365649196902797,2668.627450980392,0.18198061229017312,0.00013940198777675575,0.03540061701709538,655.0,94.0
199,서대문구,남가좌2동,0.77,30807,0.77,40009,0.024474956990294415,0.05086506313500178,42.0,0.04317200636219041,11845.454545454546,0.18198061229017312,0.00013940198777675575,0.03540061701709538,655.0,94.0
200,서대문구,북가좌1동,0.55,18121,0.55,32947,0.02301197505656421,0.016334639368688262,45.2,0.03002041829921086,0.0,0.21608095162665097,0.00047891023087458115,0.020800288171600435,483.0,128.0
201,서대문구,북가좌2동,0.84,31893,0.84,37968,0.014705421252312419,0.02241871257015646,47.4,0.047690715831060104,0.0,0.21608095162665097,0.00047891023087458115,0.020800288171600435,483.0,128.0
202,서대문구,충현동,1.12,20760,1.12,18536,0.02105009633911368,0.03367052023121387,43.3,0.03458574181117534,0.0,0.20054390504010713,0.004824420416373559,0.007310977768256624,533.0,13.0
203,서대문구,북아현동,0.46,16236,0.46,35296,0.03972653362897265,0.03258191672825819,42.2,0.0366469573786647,19945.652173913044,0.14006529111148913,0.007000976074740473,0.016332237657680958,771.0,32.0
204,서대문구,신촌동,2.63,23759,2.63,9034,0.020834210194031734,0.23536344122227368,28.9,0.022475693421440297,6041.825095057035,0.13263324486362651,0.16800486001501763,0.0061585822608111835,539.0,24.0
205,서대문구,연희동,3.05,37734,3.05,12372,0.017729368739068215,0.10213600466422855,40.2,0.024619706365611914,1219.344262295082,0.12675523630499042,0.2653660420593206,0.013860728740692852,475.0,66.0
206,마포구,용강동,0.84,22038,0.84,26236,0.019920137943552046,0.029766766494237228,42.3,0.01955712859606135,17003.571428571428,0.19221767644998797,0.011303528124910388,0.008428482053786301,753.0,43.0
207,마포구,대흥동,0.87,15848,0.87,18216,0.01621655729429581,0.12115093387178193,35.1,0.030477031802120143,0.0,0.2275367380971334,0.047729496784089276,0.009451458750004365,753.0,60.0
208,마포구,염리동,0.44,17657,0.44,40130,0.02112476638160503,0.030242963130769667,39.6,0.022937078778954522,0.0,0.2066091370584261,0.0004756526601332376,0.008582623095999924,802.0,60.0
209,마포구,신수동,0.78,22834,0.78,29274,0.024349654024700008,0.02561968993606026,42.3,0.017955680126127704,1400.0,0.18082321663835765,0.03420093793457086,0.03579385977717234,688.0,204.0
210,마포구,서교동,1.65,26549,1.65,16090,0.013936494783231007,0.08749858751742062,35.7,0.015744472484839355,11548.48484848485,0.2924855099088756,0.015261816901517433,0.009511728153136853,632.0,80.0
211,마포구,합정동,1.72,17649,1.72,10261,0.021984248399342737,0.033939599977335824,40.2,0.03206980565471131,893.6046511627907,0.16855593313603953,0.0032870688406711934,0.001504401381114533,598.0,31.0
212,마포구,망원1동,1.13,20351,1.13,18010,0.024077440911994496,0.029679131246621786,42.3,0.035477372119306176,2538.0530973451328,0.1372389909876137,0.0008993940146645907,0.0036212925632488815,612.0,76.0
213,마포구,망원2동,0.67,18764,0.67,28006,0.02350245150287785,0.02371562566616926,43.6,0.028192283095288852,2394.0298507462685,0.1372389909876137,0.0008993940146645907,0.0036212925632488815,612.0,76.0
214,마포구,연남동,0.64,15899,0.64,24842,0.011195672683816592,0.08101138436379647,39.2,0.017045097175923014,768.75,0.2212486475470838,0.0,0.003083072698525188,579.0,18.0
215,마포구,성산1동,0.8,19246,0.8,24058,0.01008001662683155,0.02966850254598358,42.7,0.030343967577678477,0.0,0.18132670746845314,0.08214608193479335,0.12588301759766773,679.0,102.0
216,마포구,성산2동,2.07,39909,2.07,19280,0.025357688741887794,0.015209601844195545,41.6,0.05497506828033777,6940.579710144928,0.17526031455987773,0.04382059975766825,0.06727920788080485,631.0,66.0
217,마포구,상암동,8.4,31473,8.4,3747,0.04181361802179646,0.030184602675308994,42.2,0.038731611222317545,1358.452380952381,0.06431257968333516,0.000896666418363336,0.274713333725022,614.0,105.0
218,마포구,도화동,0.62,21391,0.62,34502,0.020709644242905896,0.022158851853583284,44.3,0.023514562199055677,25358.064516129034,0.2462273690211585,3.418327774562651e-05,0.009822500096972143,595.0,31.0
219,마포구,서강동,1.45,25600,1.45,17655,0.02796875,0.03921875,39.4,0.013515625,0.0,0.13940054816438757,0.042409698841156716,0.03289057549492762,630.0,188.0
220,마포구,공덕동,1.01,37792,1.01,37418,0.016484970364098222,0.03257303132938188,43.1,0.030456181202370872,3354.4554455445545,0.2205899089303381,0.00025491796893943207,0.017223894731922977,766.0,46.0
221,마포구,아현동,0.76,25686,0.76,33797,0.035544654675698825,0.027563653352020556,41.1,0.020400218017597133,5797.368421052632,0.21352784819921433,0.0003171017734221584,0.016235513089030623,831.0,62.0
222,양천구,목1동,1.41,30883,1.41,21903,0.01078263122106013,0.010555969303500308,42.6,0.01117119450830554,0.0,0.16723114097351674,0.00028917696339308166,0.07894619155812727,673.0,1056.0
223,양천구,목2동,1.03,30139,1.03,29261,0.02382295364809715,0.016987955804771228,42.3,0.037127973721755865,1310.6796116504854,0.16723114097351674,0.00028917696339308166,0.07894619155812727,673.0,1056.0
224,양천구,목3동,0.53,21977,0.53,41466,0.025981708149428948,0.01924739500386768,43.4,0.04977931473813532,9633.962264150943,0.16723114097351674,0.00028917696339308166,0.07894619155812727,673.0,1056.0
225,양천구,목4동,0.57,25544,0.57,44814,0.018399624177889134,0.01828217976824303,44.3,0.039030692139054184,3656.140350877193,0.16723114097351674,0.00028917696339308166,0.07894619155812727,673.0,1056.0
226,양천구,목5동,1.81,41308,1.81,22822,0.015517575288079791,0.006512055776120848,43.3,0.0011862109034569575,0.0,0.16723114097351674,0.00028917696339308166,0.07894619155812727,673.0,1056.0
227,양천구,신월1동,0.65,20693,0.65,31835,0.03837046344174359,0.03464939834726719,49.9,0.08717923935630406,6724.615384615385,0.19809277734828398,0.11097653450943606,0.09577834323949454,446.0,239.0
228,양천구,신월2동,0.61,20819,0.61,34130,0.037369710360728184,0.020942408376963352,46.3,0.037705941687881266,3124.590163934426,0.19809277734828398,0.11097653450943606,0.09577834323949454,446.0,239.0
229,양천구,신월3동,0.87,15372,0.87,17669,0.03493364558938329,0.030965391621129327,49.2,0.09862086911267239,0.0,0.19809277734828398,0.11097653450943606,0.09577834323949454,446.0,239.0
230,양천구,신월4동,0.52,18012,0.52,34638,0.031256939817899176,0.016877637130801686,46.0,0.022984676882078614,0.0,0.19809277734828398,0.11097653450943606,0.09577834323949454,446.0,239.0
