공원명,면적,개원일,주요시설,지역,공원주소,경도,위도
낙산근린공원,201779㎥ ,2002.6.12,기반시설 : 관리도로 2920m 산책로 1010m 주차장 640㎡ 교양시설 : 역사탐방로 935m 비우당 27㎡ 홍덕이밭 50㎡ 건축시설 : 5동(전시및관리실 매점및화장실 비우당 육각정자 노인정) 운동시설 : 배드민턴장 12면 농구장 1면 편익시설 : 파고라 5종 의자 117개 음수대(6) 화장실2 광 장 : 5개소(중앙광장 놀이광장 전망광장 3개소) 기타시설 : 안내판 등 29개 ,종로구,서울특별시 종로구 낙산길 41 (우) 03085,127.007587,37.580477
양재시민의숲,258991㎡   ,1986.11.30,조경시설 : 잔디광장 파고라 그늘시렁 운동시설 : 배구장(족구장 겸용) 농구장 테니스장 등 편익시설 : 매점 야외 바비큐장 음수대 화장실 5개소 등 기        타 : 야외 예식장 윤봉길의사 기념관 윤봉길의사 동상 야외무대 백마부대 충혼탑                      대한항공 858편 위령탑 삼풍백화점 희생자 위령탑 등 ,서초구,서울특별시 서초구 매헌로 99 (양재동),127.035042,37.471225
관악산도시자연공원,10420819.08㎡,1968.1.15,낙성대 연주대 삼막사 관음사 관악산호수,관악구,서울특별시 관악구 관악로 1(관악산공원),126.96413,37.445208
효창근린공원,171294.1㎥,1940.3.12,관리시설 : 관리사무소 공원등 안내판 편의시설 : 매점 공중전화 화장실 음수대 야외탁자 의자 시계탑 조경시설 : 자연학습장 연못 데크로드 운동시설 : 농구장 배드민턴장 게이트볼장 체력단련시설 유희시설 : 어린이놀이터 휴양시설 : 정자 파고라 교양(사적)시설 : 의열사 백범김구선생 묘역 삼의사묘역 임정요인묘역 백범기념관 이봉창의사 동상 반공투사 위령탑 원효대사상,용산구,서울특별시 용산구 효창원로 177-18,126.95993,37.545234
감로천생태공원(관악산),총 15000㎡,2002.7.15,연못 3개소 목재 데크 황토길 지압로 공원등(12),금천구,서울특별시 금천구 독산4동 371?375 373일대,126.9079509,37.469625
개운산근린공원,297926㎡,1995.5.3,공원이용지원센터 화장실 산책로(산마루길 목재데크산책로 오솔길 등) 자연학습장 지압보도 축구장 배드민턴장 족구장 정자 등,성북구,서울특별시 성북구 북악산로 949-73(돈암동 6-1),127.0252858,37.5965837
개웅산근린공원,411972㎡,1971.8.6,배드민턴장 철봉 허리돌리기 역기 등 운동기구,구로구,서울특별시 구로구 오류동 산13-1,126.8485734,37.4888943
경희궁,98470㎡,2002,자정전 흥화문 (서울특별시 유형문화재 제19호) 숭정전,종로구,서울특별시 종로구 새문안로 55(신문로2가 2-1),126.9685341,37.570773
국립현충원,2038741.3㎡,1955.7.15,현충관 현충탑 충열대 충성분수대 호국분수탑 충혼승천상 휴게소,동작구,서울특별시 동작구 사당2동 산41-2,126.9736849,37.4998621
계남근린공원,603715.2㎡,1971.8.6,장군정(정상) 1동 다목적구장(실내 배드민턴장) 생태연결통로(계남12공원 연결) 조류사육장 1개소 야외무대 약수터 3개소 각종운동시설(게이트볼장 족구장 등) 화장실 2개동 ,양천구,서울특별시 양천구 신정동 산44-2일대,126.8479643,37.5138358
